,title,company,details,apply_link,salary,clean,location
0,"Software Engineer, Platform (Developer Experience) (High Seniority)",Benchling,$141k – $191kRemote • San Francisco,https://wellfound.com//jobs/3511585-software-engineer-platform-developer-experience-high-seniority,$141k – $191k,$141k – $191kRemote • San Francisco,San Francisco
1,Implementation Manager,Benchling,Onsite or remote • London+1,https://wellfound.com//jobs/3511400-implementation-manager,,Onsite or remote • London+1,London
2,Product Support Engineer,YipitData,$115k – $130k,https://wellfound.com//jobs/3503322-product-support-engineer,$115k – $130k,$115k – $130k,
3,Data QA Lead,YipitData,$20k – $70k,https://wellfound.com//jobs/3502467-data-qa-lead,$20k – $70k,$20k – $70k,
4,"Solutions Architect, Integrations",YipitData,$120k – $130k,https://wellfound.com//jobs/3493696-solutions-architect-integrations,$120k – $130k,$120k – $130k,
5,"Supplier Quality Engineer (Seattle, Portland, Spokane Metro Areas)",Fictiv,$95k – $125k,https://wellfound.com//jobs/3522941-supplier-quality-engineer-seattle-portland-spokane-metro-areas,$95k – $125k,$95k – $125k,
6,Senior Software Engineer (Remote - US),Fictiv,$160k – $200k,https://wellfound.com//jobs/3495553-senior-software-engineer-remote-us,$160k – $200k,$160k – $200k,
7,"Supplier Quality Engineer (Seattle, WA | Spokane, WA | Portland, OR Area)",Fictiv,$95k – $125k,https://wellfound.com//jobs/3474480-supplier-quality-engineer-seattle-wa-spokane-wa-portland-or-area,$95k – $125k,$95k – $125k,
8,Software Engineer,Unite Us,$100k – $135k,https://wellfound.com//jobs/3522920-software-engineer,$100k – $135k,$100k – $135k,
9,Senior Software Engineer,Unite Us,$140k – $175k,https://wellfound.com//jobs/3522919-senior-software-engineer,$140k – $175k,$140k – $175k,
10,Senior HR Data & Compensation Analyst,Unite Us,$95k – $105k,https://wellfound.com//jobs/3474458-senior-hr-data-compensation-analyst,$95k – $105k,$95k – $105k,
11,Senior DevOps Engineer,Topsort,$40k – $120k • 0.01% – 0.1%Onsite or remote • Santiago+35 years of exp,https://wellfound.com//jobs/3211278-senior-devops-engineer,$40k – $120k,$40k – $120k • 0.01% – 0.1%Onsite or remote • Santiago+35 years of exp,
12,Software Engineer - Integrations,Topsort,$100k – $180k • 0.0% – 0.006%Onsite or remote • Apac+21 year of exp,https://wellfound.com//jobs/3407389-software-engineer-integrations,$100k – $180k,$100k – $180k • 0.0% – 0.006%Onsite or remote • Apac+21 year of exp,
13,Software Engineer - Integrations,Topsort,$120k – $200k • 0.0% – 0.006%Onsite or remote • Sydney+27 years of exp,https://wellfound.com//jobs/3319206-software-engineer-integrations,$120k – $200k,$120k – $200k • 0.0% – 0.006%Onsite or remote • Sydney+27 years of exp,
14,"Software Engineer (Full-stack),  Partnerships Growth",Grow Therapy,$142k – $167k,https://wellfound.com//jobs/3332894-software-engineer-full-stack-partnerships-growth,$142k – $167k,$142k – $167k,
15,Senior AI Engineer,Grow Therapy,$150k – $220kRemote • New York City+2,https://wellfound.com//jobs/3517148-senior-ai-engineer,$150k – $220k,$150k – $220kRemote • New York City+2,New York City
16,"Senior/ Staff ML Engineer, Recommendations Systems",Grow Therapy,$207k – $269k,https://wellfound.com//jobs/3517147-senior-staff-ml-engineer-recommendations-systems,$207k – $269k,$207k – $269k,
17,"Engineering Manager, Growth",GlossGenius,$193k – $260kRemote • New York City+1,https://wellfound.com//jobs/3517109-engineering-manager-growth,$193k – $260k,$193k – $260kRemote • New York City+1,New York City
18,"Software Engineer, Infrastructure - All Levels",GlossGenius,$150k – $230kRemote • New York City+1,https://wellfound.com//jobs/2686895-software-engineer-infrastructure-all-levels,$150k – $230k,$150k – $230kRemote • New York City+1,New York City
19,Senior Application Security Engineer,GlossGenius,$180k – $230kRemote • New York City+1,https://wellfound.com//jobs/3420875-senior-application-security-engineer,$180k – $230k,$180k – $230kRemote • New York City+1,New York City
20,Software Engineer - Javascript,MindCloud,$15k – $25k • No equityRemote only • Argentina+33 years of exp,https://wellfound.com//jobs/3278538-software-engineer-javascript,$15k – $25k,$15k – $25k • No equityRemote only • Argentina+33 years of exp,No equityRemote only
21,Operations Engineer,MindCloud,$15k – $35k • No equityRemote only • Argentina+84 years of exp,https://wellfound.com//jobs/2867375-operations-engineer,$15k – $35k,$15k – $35k • No equityRemote only • Argentina+84 years of exp,No equityRemote only
